Sub,Project,StartDate,EndDate
1.1,1.0 Code Import,2016-09-01,2016-12-01
1.2,1.0 Code Import,2016-12-01,2017-03-01
1.3,1.0 Code Import,2017-03-01,2017-06-01
1.4,1.0 Code Import,2017-06-01,2017-09-01
1.5,1.0 Code Import,2017-09-01,2017-12-01
1.6,1.0 Code Import,2017-12-01,2018-03-01
2.1,2.0 Timeline,2016-09-01,2017-03-01
2.2,2.0 Timeline,2018-03-01,2018-09-01
3.1,3.0 Manual Import,2017-03-01,2017-04-01
3.2,3.0 Manual Import,2018-09-01,2019-03-01
3.3,3.0 Manual Import,2019-03-01,2019-06-01
4.1,4.0 Search,2019-06-01,2019-09-01
